uniprotswissprot	ensembl_gene_id	tpm	orf_length	ribo_reads	protein_synthesis_rate	rsquared	real_density	real_tpm	real_protein_synthesis_rate	real_protein_synthesis_per_mrna
O13297	YPL228W	3.88484555013588e-05	550	4.02108535875999e-05	1039.37326086957	0.899269051526304	0.0178058233795983	1.55393822005435	0.100493880413562	0.06467044771577
O13547	YLR390W-A	0.000253977873309093	239	0.000351354788621946	12433.8456521739	0.918110825257942	0.0947687487100944	10.1591149323637	1.2021912099267	0.118336215106387
O13563	YLR421C	0.00019176785358951	157	7.1710962712978e-05	9682.12521739131	0.945875741729197	0.0252812065346587	7.6707141435804	0.936135621703041	0.122040217400943
O14455	YPL249C-A	0.00141995592302821	101	0.00112474675358697	53527.1591304348	0.887134255488674	0.14891994213101	56.7982369211284	5.17538032874854	0.0911186791930746
O14467	YOR298C-A	0.00109154788620868	152	0.000429633631230794	48988.512173913	0.829387246928644	0.028629771797893	43.6619154483472	4.73655217945934	0.10848246419841
O43137	YBR085C-A	0.000205158994653494	86	4.65108754126755e-05	6047.24082608696	0.878717503636147	0.029400580411123	8.20635978613976	0.584689561765676	0.071248346039275
O74700	YEL020W-A	8.829194432127e-05	88	2.99036750234456e-05	1562.02847826087	0.940215564051188	0.0516333457837839	3.5316777728508	0.151027844381523	0.0427637667123895
P00044	YJR048W	0.000120665657239069	110	5.02287454352967e-05	59.0286586956522	0.849630759666813	0.050350121482733	4.82662628956276	0.00570730380630623	0.00118246233785447
P00330	YOL086C	0.0135765519273612	349	0.0112583854308352	547549.443478261	0.943214329008987	0.0251905098370063	543.062077094448	52.9409119562887	0.0974859305947842
P00359	YGR192C	0.0282861670930877	333	0.0253592485659682	2925175.04347826	0.883103343249906	0.0303372108982165	1131.44668372351	282.826393630813	0.249968821067249
P00427	YHR051W	0.000144486705304271	149	5.4793046961627e-05	2672.67973913043	0.893468269125645	0.0279033520773684	5.77946821217084	0.258413380639804	0.0447123110904248
P00445	YJR104C	0.00190587180887042	155	0.000831013593154233	153096.669565217	0.951823929647747	0.0323851197456478	76.2348723548168	14.8024573868003	0.194169110927422
P00447	YHR008C	0.000256637766933834	234	0.000120257559463688	5578.553	0.825964850175874	0.0195296448737283	10.2655106773534	0.539373542853789	0.0525423001160279
P00546	YBR160W	7.03776367778239e-05	299	4.40572954842022e-05	250.34982173913	0.8281164484862	0.0208673802124653	2.81510547111296	0.0242055727182746	0.00859846033005112
P00560	YCR012W	0.00925523305874198	417	0.00963676195592535	1251877.86956522	0.891778634247065	0.0271206419160829	370.209322349679	121.040313093314	0.326951013348567
P00729	YMR297W	0.000422741166806531	533	0.000280961687617275	9631.11	0.934137788746232	0.00965050635101979	16.9096466722612	0.931203113480244	0.0550693418690882
P00812	YPL111W	0.00021614784373261	334	0.000167389865600606	4569.99643478261	0.81021899443749	0.0242895520480393	8.6459137493044	0.441859236231668	0.0511061351111926
P00817	YBR011C	0.00191713081185091	288	0.00124522931383012	280747.617391304	0.876295768858872	0.0233089547007902	76.6852324740364	27.1446443262451	0.353974858659202
P00830	YJR121W	0.000675295417894713	512	0.000405547833504995	42963.6804347826	0.950341914277893	0.00881081640420515	27.0118167157885	4.15402928503981	0.153785631257144
P00924	YGR254W	0.00536568422207219	438	0.0160126626152955	1150011.26086957	0.895207362093572	0.120792409199338	214.627368882888	111.191136500267	0.518065972103207
P00925	YHR174W	0.0172415890692579	438	0.0226956036240554	2695329.82608696	0.9283411104027	0.0357326144267256	689.663562770316	260.603349552475	0.377870259675102
P00927	YER086W	0.000218536588933842	577	0.000154350534714352	1537.69356521739	0.805105889441536	0.0093883678754342	8.74146355735368	0.148674974692322	0.0170080185905769
P00931	YGL026C	0.000370148596143479	708	0.000491562417198374	17215.2526086956	0.834071293067339	0.0177183339996794	14.8059438457392	1.66449109485472	0.112420465199436
P00937	YKL211C	0.000117479865433662	485	8.66574430632849e-05	2016.85408695652	0.813607979016325	0.0129689619222927	4.69919461734648	0.195003567107973	0.0414972315443463
P00942	YDR050C	0.00721127705616755	249	0.00409321418006341	637528.386956522	0.897326748450893	0.0236831339290952	288.451082246702	61.6407058860247	0.213695526485512
P00950	YKL152C	0.00872784857130662	248	0.00604426022475864	1093843.04347826	0.922059624062278	0.0320321370185355	349.113942852265	105.760400176684	0.302939491080248
P00958	YGR264C	0.000431577755320392	752	0.000415362153218888	10920.8634782609	0.827275759401214	0.0100316506783305	17.2631102128157	1.05590550547644	0.0611654268819166
